Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB7.1; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; InfoPath.2; .NET CLR 3.5.30729; .NET4.0C; .NET CLR 3.0.30729; AskTbFWV5/5.12.2.16749; 978803803)|
WordPress/3.1; http://www.rimplaybook.biz|
Opera/9.80 (X11; Linux zvav; U; en) Presto/2.8.119 Version/10.54|
Opera/9.80 (X11; Linux zvav; U; es) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2.22) Gecko/20110902 Firefox/3.6.22 ( .NET CLR 3.5.30729) Swapper 1.0.4|
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; Swapper 1.0.5; Orange 7.4; Orange 8.0; SIMBAR={77B58263-85B3-4334-AB81-ECEEB41FE0EA}; NaviWoo2.0; InfoPath.2; .NET CLR 1.1.4322; Swapper 1.0.5; .NET CLR 2.0.50727; OfficeLiveConnector.1.3; OfficeLivePatch.0.0; .NET CLR 3.0.04506.30)|
Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; BOLT/2.702) AppleWebKit/534.6 (KHTML, like Gecko) Version/5.0 Safari/534.6.3|
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6.6; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC1; .NET CLR 2.0.50727; InfoPath.2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; 998603905703; Build/13.00319; 66660811703; 669607972803; 88980603; 668604633903; 9689028603; 66760656903; 896707603; 89670703903; 87890045703; 976905703; 988707903; 699902803803; 79680703; 999603803; 799801903; 97780703; 9789006903; 889800703; 877903667903; 787904628603; 97790972903; 7978010803; 666606|
WordPress/MU; http://hetblackberrynieuws.wordpress.com|
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; WOW64; FunWebProducts; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618; FunWebProducts; 797803803; layout/4.02124)|
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Swapper 1.0.4; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MDDR; Swapper 1.0.4; .NET4.0C)|
Opera/9.80 (X11; Linux i686; U; vi) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; BOLT/2.701) AppleWebKit/534.6 (KHTML, like Gecko) Version/5.0 Safari/534.6.3|
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 4.0; 979803803; Library2.02045)|
Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; BOLT/2.700) AppleWebKit/534.6 (KHTML, like Gecko) Version/5.0 Safari/534.6.3|
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SIMBAR={F5F6C5D0-6CF5-11DC-A19D-0013A950183F}; GTB7.1; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; MSN Optimized;DE; Swapper 1.0.5; OfficeLiveConnector.1.3; OfficeLivePatch.0.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MSN Optimized;DE)|
